Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,PEDay,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
1393,18,18,B,24,7844.215529,6467.714789,7967.41316,10253.19144,8320.427857,8153.634052,8030.424599,7968.2043,0.230383086,8118.172702,5218,,0.187828645,0.417,,0.471,290.611095,1.22820411,NA,236.614658,115.995135,,,,,,,,,,,4677.111859,4324.946581,4515.24997,5057.061402,6351
1393,18,18,C,24,5134.941967,4880.550105,5037.131968,6466.786488,8380.417089,8215.820932,8030.702727,8053.012457,0.140710683,8169.988301,4133,,0.169381573,0.365,,0.417,286.130246,1.19861639,NA,238.717114,113.309948,,,,,,,,,,,3215.039924,3509.098372,3859.309404,4172.117248,3689
1393,18,18,D,24,4879.72159,4943.817056,4981.355956,6164.967768,8128.365486,8512.18969,7947.594274,7884.288893,0.110372596,8118.109586,5463,,0.205000874,0.374,,0.509,326.304895,1.23397891,NA,264.433121,117.833575,,,,,,,,,,,3082.860466,3707.869656,4089.807346,4492.98801,3662
1393,18,18,E,24,4306.056211,4729.74397,5720.909464,5976.229783,8352.17276,8290.596963,8024.181641,7860.019332,0.116959413,8131.742674,3152,,0.215766164,0.359,,0.401,267.141338,0.98100635,NA,272.313568,93.9164605,,,,,,,,,,,3131.086699,3506.606304,4231.882798,4247.831538,4375
1393,18,18,F,24,6277.641297,6477.393722,5882.111592,7949.241424,8058.358959,8203.894485,8005.512121,8027.925756,0.10237914,8073.92283,7943,,0.176246207,0.368,,0.471,270.943778,1.10623665,NA,244.923885,104.860625,,,,,,,,,,,2726.818432,3532.806096,3794.865417,4795.480786,5887
2951,18,18,A,24,4606.558014,5071.020102,8328.717653,27184.78568,8000.973174,7765.86887,7930.538188,7187.047902,0.839557733,7721.107034,4264,,0.211077046,0.361,,0.674,199.161313,1.27484229,NA,156.224275,112.520427,,,,,,,,,,,3504.18776,3528.590033,3655.232099,3363.413076,10878
2951,18,18,B,24,5238.851152,8989.710119,14541.81518,43857.49341,7840.424489,7620.279633,7514.351172,6834.713084,0.792432494,7452.442095,4014,,0.209281008,0.482,,0.671,189.05799,1.22480587,NA,154.357515,107.804376,,,,,,,,,,,3528.763821,3535.795931,3510.694943,3233.107465,12697
2951,18,18,C,24,9563.231444,16436.1462,30257.61858,71730.23207,8082.343018,7431.325134,7784.69146,6916.72953,0.73671468,7553.772286,3604,,0.188654398,0.505,,0.735,196.312064,1.25244497,NA,156.743065,110.627188,,,,,,,,,,,3212.132332,3171.948141,3303.236013,3010.6665,16279
2951,18,18,D,24,5004.172679,5505.143639,14634.59611,38081.39039,7674.916315,7156.947114,7549.428915,6794.162749,0.96702143,7293.863773,4501,,0.191080137,0.458,,0.683,176.14829,1.24156114,NA,141.876452,106.997764,,,,,,,,,,,3436.505751,3397.338549,3471.895591,3175.615371,14362
2951,18,18,E,24,6968.833506,16919.07983,36732.25432,69047.41085,8400.805718,7990.883854,7744.837267,6746.061798,0.831103691,7720.647159,2878,,0.34745022,0.481,,0.715,179.574778,1.33194793,NA,134.821169,113.165367,,,,,,,,,,,3441.043891,3418.435413,3455.406614,3129.883789,20567
