,IDs,Strain,Light,Ev,Assay,Rep,Sp.Ev,FLB,OB,Os,Ts,TypeI.a,TypeI.AIC,TypeII.a,TypeII.h,TypeII.AIC,Type.bestfit,a.bestfit,G_O,Light.Ev.Acc
50,1391.100.24.24.B,1391,100,24,24,B,1393.24,22142,810000,810000,832142,4.63E-07,6.635082089,0.144628688,0.682163916,-0.88347625,Type II,0.144628688,1.465904988,100.24.
51,1391.100.24.24.C,1391,100,24,24,C,1393.24,22142,810000,810000,832142,8.01E-07,-1.615518219,2.62E-06,0.356859026,-15.52441966,Type II,2.62E-06,1.206952505,100.24.
52,1391.100.24.24.D,1391,100,24,24,D,1393.24,3231,810000,810000,813231,4.83E-07,13.2154386,0.126739079,0.502818334,6.114860256,Type II,0.126739079,1.988751326,100.24.
53,1391.100.24.24.E,1391,100,24,24,E,1393.24,3231,810000,810000,813231,4.27E-07,11.43700541,0.163122152,0.569642222,4.416739001,Type II,0.163122152,1.755464527,100.24.
54,1391.100.24.24.F,1391,100,24,24,F,1393.24,3231,810000,810000,813231,8.02E-07,5.418683246,4.35E-06,0.343598343,2.742271424,Type II,4.35E-06,1.593513869,100.24.
55,1391.100.24.27.A,1391,100,24,27,A,1393.24,843,810000,810000,810843,7.59E-07,7.364297749,4.43E-06,0.350709118,-8.633580566,Type II,4.43E-06,1.588445467,100.24.
56,1391.100.24.27.B,1391,100,24,27,B,1393.24,843,810000,810000,810843,6.30E-07,3.196865879,2.63E-06,0.386846505,-14.98136657,Type II,2.63E-06,1.167402679,100.24.
57,1391.100.24.27.C,1391,100,24,27,C,1393.24,843,810000,810000,810843,6.97E-07,9.093355928,1.03E-05,0.431510322,-4.167889941,Type II,1.03E-05,1.81181415,100.24.
58,1391.100.24.27.D,1391,100,24,27,D,1393.24,2978,810000,810000,812978,9.82E-07,10.88622027,5.99E-05,0.352352111,5.799144445,Type II,5.99E-05,2.681117264,100.24.
59,1391.100.24.27.E,1391,100,24,27,E,1393.24,2978,810000,810000,812978,8.63E-07,9.213582786,1.00E-04,0.404842025,3.003737035,Type II,1.00E-04,2.396974797,100.24.
60,1391.100.24.27.F,1391,100,24,27,F,1393.24,2978,810000,810000,812978,9.62E-07,6.40002965,4.71E-06,0.290277105,-0.612706087,Type II,4.71E-06,1.810380072,100.24.
61,1391.100.24.30.A,1391,100,24,30,A,1393.24,2625,810000,810000,812625,8.29E-07,5.15249683,4.72E-06,0.340625484,-8.859539317,Type II,4.72E-06,1.659941412,100.24.
62,1391.100.24.30.B,1391,100,24,30,B,1393.24,2625,810000,810000,812625,6.14E-07,0.477245934,2.25E-06,0.403816471,-9.026983229,Type II,2.25E-06,1.049046763,100.24.
63,1391.100.24.30.C,1391,100,24,30,C,1393.24,2625,810000,810000,812625,6.61E-07,4.855283347,6.93E-06,0.469385982,-7.279819713,Type II,6.93E-06,1.544374753,100.24.
64,1391.100.24.30.D,1391,100,24,30,D,1393.24,7764,810000,810000,817764,1.08E-06,6.978526598,5.45E-06,0.251991857,1.284704025,Type II,5.45E-06,2.090286069,100.24.
65,1391.100.24.30.E,1391,100,24,30,E,1393.24,7764,810000,810000,817764,9.34E-07,6.317899727,6.72E-06,0.313123014,-1.100757825,Type II,6.72E-06,2.013238694,100.24.
