"","IDs","Strain","Light","Ev","Assay","Rep","Sp.Ev","FLB","OB","Os","Ts","TypeI.a","TypeI.AIC","TypeII.a","TypeII.h","TypeII.AIC","Type.bestfit","a.bestfit","G_O","Light.Ev.Acc"
"29","1393.100.18.33.E",1393,100,"18",33,"E","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,9.93917047220627e-07,0.964499843895262,1.77375177381722e-06,0.112608360447538,-5.92217209241386,"Type II",1.77375177381722e-06,1.80499922107867,"100.18."
"30","1393.100.18.33.F",1393,100,"18",33,"F","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,7.71656513021135e-07,1.92210071123694,2.03406317463866e-06,0.206186810179089,-10.0384708217618,"Type II",2.03406317463866e-06,1.69174513437189,"100.18."
"31","1393.100.18.36.A",1393,100,"18",36,"A","1393.18",1009,1277222.22222222,1277222.22222222,1278231.22222222,1.70673601318505e-06,-9.37038424175379,1.76913393985568e-06,0.00782647234223387,-7.45789687712103,"Type I",1.70673601318505e-06,2.22031203324186,"100.18."
"32","1393.100.18.36.B",1393,100,"18",36,"B","1393.18",1009,1277222.22222222,1277222.22222222,1278231.22222222,1.33673480962049e-06,-6.7835437125554,1.53649235309579e-06,0.036881952365069,-5.25532743463022,"Type I",1.33673480962049e-06,1.82998989035643,"100.18."
"33","1393.100.18.36.C",1393,100,"18",36,"C","1393.18",1009,1277222.22222222,1277222.22222222,1278231.22222222,1.02139931823508e-06,1.66091977332227,1.02139931736936e-06,0,3.66091977332227,"Type I",1.02139931823508e-06,1.30455390590675,"100.18."
"34","1393.100.18.36.D",1393,100,"18",36,"D","1393.18",7410,1277222.22222222,1277222.22222222,1284632.22222222,7.20181351776539e-07,8.94633402907135,0.0830917696031594,0.43065492987919,4.62637626377663,"Type II",0.0830917696031594,2.32199390082557,"100.18."
"35","1393.100.18.36.E",1393,100,"18",36,"E","1393.18",7410,1277222.22222222,1277222.22222222,1284632.22222222,6.29598404855436e-07,2.21320989770876,2.86193035579239e-06,0.384781235755721,-1.08211256263767,"Type II",2.86193035579239e-06,1.51893731283903,"100.18."
"36","1393.100.18.36.F",1393,100,"18",36,"F","1393.18",7410,1277222.22222222,1277222.22222222,1284632.22222222,5.3240229858087e-07,0.330612432158209,2.13686934702344e-06,0.437140728052346,-2.49298951907369,"Type II",2.13686934702344e-06,1.244491860233,"100.18."
"37","1393.100.18.39.A",1393,100,"18",39,"A","1393.18",14387,1277222.22222222,1277222.22222222,1291609.22222222,8.34132917737485e-07,9.19892349257872,8.34132917347353e-07,0,11.1989234925787,"Type I",8.34132917737485e-07,1.06537309832309,"100.18."
"38","1393.100.18.39.B",1393,100,"18",39,"B","1393.18",14387,1277222.22222222,1277222.22222222,1291609.22222222,8.91670082103779e-07,10.381986570028,8.91670082305349e-07,0,12.381986570028,"Type I",8.91670082103779e-07,1.13886084401111,"100.18."
"39","1393.100.18.39.C",1393,100,"18",39,"C","1393.18",14387,1277222.22222222,1277222.22222222,1291609.22222222,6.76393487220039e-07,9.06248879108378,6.7639348681011e-07,0,11.0624887910838,"Type I",6.76393487220039e-07,0.863904792320247,"100.18."
"40","1393.100.18.39.D",1393,100,"18",39,"D","1393.18",8069,1277222.22222222,1277222.22222222,1285291.22222222,6.47131994324646e-07,6.53158640042098,8.90610423495837e-06,0.33319326060798,2.68275120371204,"Type II",8.90610423495837e-06,2.37470591640456,"100.18."
"41","1393.100.18.39.E",1393,100,"18",39,"E","1393.18",8069,1277222.22222222,1277222.22222222,1285291.22222222,5.40910147117657e-07,-1.97912810623021,8.62985216561442e-07,0.163606004460261,-2.15841964855377,"Type II",8.62985216561442e-07,0.933826538351338,"100.18."
"42","1393.100.18.39.F",1393,100,"18",39,"F","1393.18",8069,1277222.22222222,1277222.22222222,1285291.22222222,3.96554049153508e-07,0.335506954812628,1.73526850681571e-06,0.469984936881358,-2.12691461612326,"Type II",1.73526850681571e-06,1.08556109480786,"100.18."
"43","1393.100.24.18.A",1393,100,"24",18,"A","1393.24",1715,810000,810000,811715,7.59062599886562e-07,7.92396736967058,4.52301843925522e-05,0.369949500959875,-10.5060144828826,"Type II",4.52301843925522e-05,2.5173399254277,"100.24."
"44","1393.100.24.18.B",1393,100,"24",18,"B","1393.24",1715,810000,810000,811715,5.65253321038739e-07,6.04637593090725,0.501713968959342,0.504741608524604,-9.67439066573979,"Type II",0.501713968959342,1.98120208036299,"100.24."
