Light,Strain,Ev,Acc,Rep,ExptDay,CellspmL,FSC,RedF,Chl.volextr,ChlReading,ChlperCell,Fm,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
100,1391,24,24,C,2,140619,9491.139484,10125.79618,4.5,7.13,0.253522698,15806,0.509,67.59479344,6.56E-01,76.74504337,5.950779613,1.34E-05,0.628240142,0.081332308,0.000247036,122.1587705,6.268405789
100,1391,24,24,D,2,152929,9330.566058,10151.90249,4.5,8.25,0.269733714,17255,0.504,75.54884159,6.70E-01,85.80625249,4.846382999,2.08E-06,0.685878117,0.063164987,3.61E-05,125.1042283,6.844210707
100,1391,24,24,E,2,134970,9128.852113,9988.747903,4.5,6.67,0.247092316,15980,0.514,67.14325771,5.56E-01,78.04146147,4.242873988,1.66E-06,0.572892364,0.046455748,1.73E-05,136.2236022,5.718655021
100,1391,24,24,F,2,131049,9154.709013,9866.693489,4.5,6.4,0.244184351,13341,0.494,71.49814352,6.61E-01,80.86974497,4.888617308,3.11E-06,0.662460615,0.066906363,6.13E-05,122.0747968,6.60982791
100,2951,24,24,A,2,78787,9465.610065,5973.837095,,,,5934,0.565,94.50012555,1.28E+00,95.6564367,2.39386558,1.64E-08,1.807298505,0.151318048,2.09E-05,52.92785694,17.86096169
100,2951,24,24,B,2,126895,8203.166932,4954.940689,,,,7814,0.583,94.26511999,1.15E+00,95.91998491,2.386384429,1.59E-08,1.516047492,0.109557678,8.87E-06,63.2697758,15.03548316
100,2951,24,24,C,2,119980,7778.608139,4985.644511,,,,6739,0.579,115.3853809,1.32E+00,119.5972529,6.81042918,2.19E-06,1.558813621,0.22095726,0.000405921,76.72325368,15.50046076
100,2951,24,24,D,2,46404,8803.958312,6332.330661,,,,3267,0.547,99.22872368,1.30E+00,100.0564406,3.780707187,1.92E-07,1.765255613,0.211445546,0.000160475,56.68099273,17.47165618
100,2951,24,24,E,2,46319,7630.166003,4384.931648,,,,2211,0.526,114.6761946,1.16E+00,127.8678901,6.341821326,9.67E-07,1.151146871,0.104281938,3.29E-05,111.0786932,11.48047009
100,2951,24,24,F,2,52679,8489.6035,4514.867418,,,,2426,0.527,120.3088376,1.32E+00,128.0641329,8.007030021,3.79E-06,1.40859534,0.191063872,0.000319246,90.91619806,14.02942249
100,1391,24,30,A,2,175874,8846.093911,12515.93005,,,,25515,0.467,47.14876961,4.80E-01,53.49545065,5.308255499,5.54E-05,0.461918438,0.080552261,0.001221532,115.8114642,4.60773854
100,1391,24,30,B,2,247644,8915.730901,10750.49729,,,,30606,0.465,32.72162061,3.73E-01,34.3490739,2.694495111,1.43E-05,0.410617847,0.074786063,0.001528257,83.65216984,4.086729938
100,1391,24,30,C,2,223487,8675.250495,12187.62733,,,,27693,0.475,36.28499388,4.09E-01,37.74911708,2.675747574,7.92E-06,0.473655323,0.081056235,0.001107466,79.69744078,4.711851569
100,1391,24,30,D,2,196252,8060.63107,13187.92575,,,,30235,0.529,42.99559665,3.62E-01,48.36866178,2.862920116,2.75E-06,0.395320641,0.03900585,5.37E-05,122.3529884,3.944427506
100,1391,24,30,E,2,235955,8602.387812,11831.07193,,,,30981,0.528,37.70212573,3.59E-01,41.59235544,3.330038448,1.61E-05,0.372761202,0.054289198,0.000470135,111.5790894,3.717663673
100,1391,24,30,F,2,244855,8404.72939,11387.57848,,,,29771,0.538,36.45356079,3.25E-01,42.45277539,4.179137747,5.30E-05,0.318453498,0.047862071,0.000556988,133.3091822,3.178575226
100,2951,24,30,A,2,120666,8361.255166,8042.937568,,,,12497,0.543,44.72902177,6.27E-01,44.19367983,0.890598452,4.49E-09,0.988722585,0.075942354,1.26E-05,44.69775498,9.725501785
100,2951,24,30,B,2,94528,9351.652447,8384.971704,,,,10211,0.572,52.3155347,6.78E-01,52.22866274,2.25745903,4.27E-07,0.924952848,0.127114829,0.000342942,56.46629754,9.154027894
